25,0,1
25.4,2,1.41421
25.8,0,1
26.2,1,1
26.6,0,1
27,1,1
27.4,2,1.41421
27.8,3,1.73205
28.2,2,1.41421
28.6,4,2
29,3,1.73205
29.4,4,2
29.8,5,2.23607
30.2,10,3.16228
30.6,14,3.74166
31,18,4.24264
31.4,11,3.31662
31.8,25,5
32.2,23,4.79583
32.6,29,5.38516
33,29,5.38516
33.4,53,7.28011
33.8,51,7.14143
34.2,69,8.30662
34.6,81,9
35,97,9.84886
35.4,107,10.3441
35.8,134,11.5758
36.2,144,12
36.6,157,12.53
37,183,13.5277
37.4,250,15.8114
37.8,289,17
38.2,285,16.8819
38.6,290,17.0294
39,348,18.6548
39.4,342,18.4932
39.8,380,19.4936
40.2,415,20.3715
40.6,430,20.7364
41,456,21.3542
41.4,487,22.0681
41.8,514,22.6716
42.2,553,23.516
42.6,607,24.6374
43,596,24.4131
43.4,615,24.7992
43.8,601,24.5153
44.2,597,24.4336
44.6,630,25.0998
45,684,26.1534
45.4,590,24.2899
45.8,635,25.1992
46.2,652,25.5343
46.6,620,24.8998
47,575,23.9792
47.4,524,22.891
47.8,538,23.1948
48.2,507,22.5167
48.6,473,21.7486
49,474,21.7715
49.4,423,20.567
49.8,389,19.7231
50.2,344,18.5472
50.6,315,17.7482
51,303,17.4069
51.4,274,16.5529
51.8,229,15.1327
52.2,211,14.5258
52.6,201,14.1774
53,186,13.6382
53.4,152,12.3288
53.8,125,11.1803
54.2,106,10.2956
54.6,98,9.8995
55,73,8.544
55.4,65,8.06226
55.8,61,7.81025
56.2,47,6.85565
56.6,37,6.08276
57,33,5.74456
57.4,21,4.58258
57.8,16,4
58.2,13,3.60555
58.6,15,3.87298
59,15,3.87298
59.4,6,2.44949
59.8,4,2
60.2,5,2.23607
60.6,5,2.23607
61,2,1.41421
61.4,1,1
61.8,1,1
62.2,1,1
62.6,0,1
63,3,1.73205
63.4,0,1
63.8,0,1
64.2,0,1
64.6,1,1
